sap-27587,91532031863087,
sap-27665,5700524584,
sap-28713,5585414,
sap-30131,30131064,
sap-32000,21507259266709,
sap-33433,72242726223008,
sap-33445,21975611115160,
sap-34444,566609464,
sap-367655,85637560391277,
sap-41254,71979534,
sap-42752,9978414454,
sap-45778,894472974,
sap-54269,178526974,
sap-58336,62254470903037,
sap-63371,32696725660372,
sap-70288,31046192826977,
sap-70547,95050766597619,
sap-74977,18621639197221,
sap-764663,27765101784231,
sap-76884,92597674,
sap-77466,457120584,
sap-79037,1512259564,
sap-792273,6168004,
sap-79307,6607168924,
sap-82222,61681314,
sap-82695,80266204,
sap-84692,34724,
sap-87359,82094,
sap-87785,40757844,
sap-87906,7766084,
sap-89239,358094,
sap-89722,23571584,
sap-90356,19028832288686,
sap-90358,33486439091025,
sap-90947,8404824,
sap-98823,727304,
sap-99833,34743104,
sap-999777,18754478919864,
sap-int,42456583685048,
silverstreet,30334976113508,1002
silverstreet-ss7,4745915124,
silverstreetss7,31499751908422,
sinfini-international,33081080110458,1064
sinfini-transactional,21775261205853,893
smppsim,30075869742860,
ssm-reach-data,33488498819357,
syniverse-premium,39499543206672,1037
syniverse-ws,26783847786084,1038
telefonica,21131752844954,1141
teli,98745225223557,1074
test,31040016027979,
textflow,15160338203279,985
textware,16505864159746,960
tis,37750710009995,1023
tis-hq,17930794577751,
tis-ss7,18771553459463,
tis-standard,15971617123562,
tww,30680634689067,915
tyntec,33836000890597,1056
tyntec-mt,35237312715708,
vfirst,43262021286446,997
vfirst-promotional,31458450930046,1026
voxbone-mo,18731888573544,
voxbone_redundant,17787481744293,
vp-media,24934934277371,962
yuboto,20605433282869,977
zen-brazil,33108224994164,1010
zipwhip,12374808125647,1114
